#name	rv	rverr	vsiniul	vsini	vsinierr	numstd	bestspt	binflag	beststd	CG
QSPup	37.09292959028692	8.883994061836026	nan	57.25587309163088	14.118156763880048	1	B9V	SB1?	HD4622	CG3
2MASSJ07540255-460	19.52155662277726	0.49237698561407894	nan	29.04919509176818	1.0102219206984144	11	G0V		HD152555	CG3
TYC8142-1598-1	19.72683461979656	2.782140680593995	nan	87.11251344620753	4.885923157636201	3	F1V		alfCrv	CG3
TYC8138-2890-1	20.808362080581446	0.2106095994934092	nan	21.690793491697814	0.9232471388896454	8	G9V		epsFor	CG3
TYC8138-3251-1	nan	nan	l	150.0	nan	9	A3V		HD216956	CG3
TYC8139-3353-1	22.701630879975145	0.954157051162824	nan	64.8098523422305	3.5372115095814776	11	G0V		HD152555	CG3
TYC8135-458-1	26.83344510551926	2.241802811710808	nan	23.272508970532474	11.33621722508105	4	F1V	SB1?	HD40136	CG3
HD65167	nan	nan	nan	109.69898128931601	nan	7	A1V		HD65900	CG3
TYC8139-4265-1	17.737358618765665	2.5497891285248637	nan	89.60731079932893	13.688188693451924	3	A7V		73Vir	CG3
2MASSJ07522717-475	16.037621219366887	0.2912282489567866	u	4.0	1.4511492172791955	8	G9V		epsFor	CG3
2MASSJ07520589-482	17.77527337832118	1.4068941772918258	nan	16.828312527560527	2.8384551950974997	8	K5V		epsInd	CG3
HD63869	nan	nan	l	150.0	nan	6	A1V		HD91375	CG3
2MASSJ07494943-461	96.20592948635299	2.3954647786487153	nan	8.506970286436177	2.319939933590259	7	K2V	SB1?	HD22049	CG3
2MASSJ07510378-453	nan	nan	nan	5.671754856885749	3.052710060976594	10	K0V		41Ara	CG3
TYC8139-589-1	20.528169839453014	8.177316550719741	nan	97.29508187313147	12.606636214248885	3	F1V		HD40136	CG3
2MASSJ07542550-465	19.494204042066325	0.5903743496788354	nan	30.771115103607883	0.9515466060575924	9	G2V		HD38858	CG3
TYC8139-2296-1	21.58338225502232	3.334227108826317	nan	87.66585826653767	4.406278781359185	3	F1V		HD40136	CG3
2MASSJ07595002-490	21.535324952287425	0.18022248909893146	nan	17.176241770240896	1.8019151220437553	6	F5.5V		53Vir	CG3
TYC8134-2633-1	23.013600800697354	0.8716294391057215	nan	48.29874445481924	3.0237006105945317	9	F6V		HD30652	CG3
CD-463194	7.084480231214618	1.6892044119236773	nan	nan	nan	2	A6V	SB2	HD168525	CG4
TYC8137-2850-1	21.155874544527325	0.20617446291305766	nan	18.297325787544583	1.1147521992421794	10	K0V		41Ara	CG4
TYC8137-2862-1	21.966477953909923	2.6386824080601907	nan	117.71760210581672	13.757478251504056	7	A2V		HIP113673	CG4
CD-463212	22.36397449935957	2.096900675345985	nan	113.08701835568839	13.344542211103521	9	G2V		18Sco	CG4
2MASSJ07293289-461	19.877560316335966	0.931539433452961	nan	30.956618622008587	1.5063181241417776	8	G5V		HD111031	CG4
RP934	23.52149895890612	0.5347779695334646	nan	13.40581686036026	1.4274150560742673	9	M0V		HD111631	CG4
RP937	22.467637529397024	0.41549600103314493	nan	26.16882858029604	1.6475379626419622	8	K2V		HD22049	CG4
HD65894	nan	nan	l	150.0	nan	8	A3V		HD138105	CG14
TYC8138-2794-1	nan	nan	l	150.0	nan	8	A3V		HD138105	CG14
2MASSJ08023538-484	18.599081852292176	0.2891026371735984	nan	16.936237121548107	0.555644443122035	6	G5V		HD90156	CG14
HD65774	nan	nan	l	nan	nan	4	A1V		HD65900	CG14
2MASSJ08042347-493	21.212444879968604	0.5566350370204596	nan	13.229541886272962	1.0196200428059514	9	K1V		12Oph	CG14
2MASSJ07560331-491	20.744306009217528	0.1747595702261533	nan	8.440888392281082	1.4145721519898702	6	G8V		HD10700	CG14
2MASSJ07573369-501	58.73939819332486	0.10391281790182223	u	4.0	0.8333584643261759	6	G5V	SB1?	HD111031	CG14
HD67129	nan	nan	nan	nan	nan	5	A3V		HD96568	CG14
2MASSJ08183357-492	nan	nan	nan	40.451592862665265	6.320913718438121	7	G8V		HD10700	CG14
HD63364	nan	nan	l	nan	nan	4	B9V		HD4622	CG14
HD66005	nan	nan	nan	nan	nan	1	B9V		HD4622	CG14
2MASSJ07554620-471	8.649361268188128	1.0841905132311191	nan	38.37266744931312	2.2151703882077323	10	K1V	SB1?	12Oph	CG14
HD65335	19.728186057909998	8.337539202171225	nan	42.71236692540327	37.381237836227726	9	A1V		HD91375	CG14
HD66006	nan	nan	nan	50.66808721907355	19.838491481684105	1	B9V		HD4622	CG14
2MASSJ08065006-473	10.792493331780312	0.2844869703835879	u	4.0	0.9046350277390487	10	K3V	SB1?	HD32147	CG14
2MASSJ08094262-500	21.911977819297736	0.9053625934165738	nan	51.28656715141519	2.3123214729664086	8	G5V		HD90156	CG14
TYC8144-2888-1	21.822323217908362	0.7227263369068888	nan	41.8797177590315	1.9249761458084598	6	F6V		HD30652	CG14
CD-493158	nan	nan	l	150.0	nan	7	A3V		HD96568	CG14
HD66971	nan	nan	nan	nan	nan	6	B9V		HD4622	CG14
TYC8143-2619-1	26.03219424732808	0.3155703340760049	nan	23.381347725222717	1.7211127642198745	3	F2V	SB1?	ksiOph	CG14
2MASSJ07541099-494	26.837567149588995	0.24726762026239454	nan	5.7043253943618835	2.154441671064807	8	G9V	SB1?	epsFor	CG14
2MASSJ07371850-485	33.69234419542043	0.15928389877257929	u	4.0	1.4992127785665461	10	K0V	SB1?	HD100623	CG14
HD65729	nan	nan	nan	105.08953302826671	11.797394136809146	2	A0V		ECen	CG14
CD-483350	nan	nan	nan	143.96522566371456	nan	6	A0V		ECen	CG14
2MASSJ08000812-453	37.59159137543671	0.13038054578759414	nan	9.294161401797595	5.815774589970823	11	G2V	SB1?	HD38858	CG14
TYC7671-4253-1	22.360842891462553	2.0941659071319507	nan	71.23880686746587	4.589115855728052	4	F1V		alfCrv	CG14
TYC8134-586-1	21.06756660092052	0.7291372854371776	nan	55.42451479782978	2.583772472770884	6	F6V		tauPsA	CG14
CD-443740	20.08038403111157	4.777616085177285	nan	57.508328529887955	22.411947562118513	2	A6V		HD168525	CG14
HD69404	nan	nan	l	150.0	10.638456946794461	1	B9V		HD4622	CG14
TYC8143-1918-1	21.776983286642047	1.521827602048019	nan	48.35721699907127	6.613417894446558	8	G3V		HD59967	CG14
2MASSJ08040005-495	-52.96833859481216	3.977737506602187	nan	5.615625231249835	2.0732388302669267	6	K0V	SB1?	HD100623	CG14
KWVel	nan	nan	l	150.0	nan	4	A1V		HD65900	CG14
TYC8138-167-1	17.986910654862236	2.552601397005714	nan	44.48097969945769	3.3781814396536918	4	F1V		HD40136	CG14
2MASSJ07514674-460	22.924384032166937	0.21972764803056916	nan	21.633665222159266	0.6762381148783408	6	G5V		HD90156	CG14
2MASSJ07492170-463	22.543775629378317	0.71806599609529	nan	39.57890622868047	1.2999570912495533	7	G5.5V		HD21019	CG14
2MASSJ07421676-482	19.849208272297727	0.25479202088817604	nan	16.520166652512764	1.1751832954287944	8	G9V		epsFor	CG14
2MASSJ07471652-493	17.41062404828337	0.44612889712327264	nan	25.860856116871332	0.906113702722952	6	G5V		HD111031	CG14
2MASSJ07470563-475	21.33551613610377	0.530150466802427	nan	22.008714043086677	0.8749638575365339	6	K1V		12Oph	CG14
2MASSJ07564756-475	20.050636632045947	0.3080713596445533	nan	27.86302711362185	1.6670154159304253	11	G0V		HD34721	CG14
2MASSJ07580565-491	21.381225524590494	0.23828090090323403	nan	6.733945766596702	0.8182375665194862	7	K2V		HD22049	CG14
2MASSJ08012725-494	24.94286473172646	1.5701179994661896	nan	52.95364157959372	2.280290446054501	8	K0V		HD26965	CG14
2MASSJ08034730-491	19.91545704210658	0.35244298115442857	nan	23.399529235515796	0.6059312954845951	6	G5.5V		HD21019	CG14
2MASSJ07502381-465	21.64901324438225	0.6579489544415025	nan	47.93270181040754	3.7788931785734863	9	F8.5V		HD19994	CG14
TYC8143-2246-1	22.22195272567743	0.9800819797756454	nan	53.95950233392023	3.976343098136417	6	F5V		58Oph	CG14
TYC8144-1249-1	nan	nan	nan	116.44624460934038	nan	8	A2V		HIP113673	CG14
2MASSJ07593159-482	21.441704339597624	0.39156839184433967	nan	22.70425407293132	1.094019910878281	10	K1V		12Oph	CG14
2MASSJ08391713-523	18.14986740760817	0.2901521178524997	nan	8.878473543790154	1.522784229591427	8	K1V		12Oph	CG17
TYC8162-1365-1	20.43224766551222	0.23521449168421174	nan	21.700200317795215	1.0461072676785004	9	G3V		HD59967	CG17
TYC8163-1479-1	17.59748068531667	2.2247106524036107	nan	80.63483833871166	5.075869612207868	3	A7V		73Vir	CG17
TYC8163-165-1	18.44938316710019	0.3316143840394259	nan	30.738283846833333	1.8060328653232323	6	F5.5V		53Vir	CG17
OOVel	nan	nan	nan	57.67109092071011	nan	6	A1V		HD65900	CG17
2MASSJ08434121-520	55.8111957937665	0.20787980209621082	nan	4.4837481283101015	1.3639990395476944	10	K2V	SB1?	HD22049	CG17
TYC8163-2131-1	-10.148252385059825	0.9474677048774207	nan	37.578857030109056	2.815641598853895	6	F6V	SB1?	HD38393	CG17
2MASSJ08291213-505	20.026999918289047	0.32358499545743574	nan	11.669594572321136	2.0999314545473537	7	K0V		41Ara	CG17
HD70718	nan	nan	l	150.0	49.21445072137722	9	A3V		HD96568	CG17
HD71003	nan	nan	l	150.0	nan	6	A1V		HD65900	CG17
2MASSJ08590528-553	15.404203384047545	0.19479523138648044	nan	23.5760789899663	0.8167427506722108	8	G5.5V		HD21019	CG17
2MASSJ08391280-510	19.987927558489805	0.3070524052167507	nan	8.349411660856976	1.1252953620785273	6	G8V		HD10700	CG17
TYC8568-2409-1	19.63076619544454	0.1936569746993238	nan	15.518272501551818	1.6449212422775887	9	G0V		HD34721	CG17
TYC8569-2369-1	17.672346596570744	0.7593137020592055	nan	41.06024380108394	4.767474880951846	3	F5V		58Oph	CG17
2MASSJ08494919-530	18.18711306367695	0.3189805290605243	nan	11.837207456351836	0.8256053737147256	8	G5.5V		HD21019	CG17
2MASSJ08450857-531	18.04410391917197	0.13870090852528635	u	4.0	1.6433022229034204	8	G9V		epsFor	CG17
HD72163	nan	nan	l	150.0	nan	9	A3V		HD138105	CG17
2MASSJ08492498-533	5.6320964760105605	0.26098707571239516	u	4.0	0.7354780754560851	7	K2V	SB1?	HD22049	CG17
2MASSJ08292489-503	23.963078922868267	2.821251066208133	nan	87.66359205580449	3.909016730582571	4	F1V	SB1?	alfCrv	CG17
HD73387	15.390019345807842	7.42404718479864	l	150.0	nan	8	A2V		HIP113673	CG17
HD76901	nan	nan	nan	59.667250138996685	nan	8	A1V		HD65900	CG17
TYC8590-874-1	16.89326648728936	0.5341164532973213	nan	37.975272750143	2.273634741667878	6	F5V		58Oph	CG17
2MASSJ08334968-514	16.689406139549888	1.9328720655354052	nan	45.78946031037157	10.18392658229073	10	F6V		tauPsA	CG17
CD-552380	nan	nan	l	150.0	nan	8	A1V		HD91375	CG17
TYC8586-1678-1	22.221359360200072	0.14501068791070548	nan	12.7204160771573	4.781834697314509	6	F5.5V		53Vir	CG17
2MASSJ08563299-552	17.39175933557632	0.37840648557323275	nan	30.168085437198805	1.5239126256376883	11	G2V		18Sco	CG17
2MASSJ08295658-511	18.35432007410296	3.0223830426871614	nan	82.25931634782432	7.548705600970887	7	K0V		HD100623	CG17
